ratings,review_data,text,lat,long,name_of_loc,name_only,address_only,num_reviews,loc_type,avg_review,user_href,ID
 5 stars ,a year ago,The best place to buy fresh fruits nearby. But It is closed now but anyone know when and where it will open?,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/117070450275496629281?hl=en-HU,1
 1 star ,a year ago,They moved somewhere still did not open it’s really bad 👀,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/107504984151957152576?hl=en-HU,1
 3 stars ,6 months ago,Good,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/105853390294756809650?hl=en-HU,1
 5 stars ,2 years ago,"Very good service. Fresh fruits, Vegetables are available. 24/7 open",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/104199053254048131409?hl=en-HU,1
 4 stars ,a year ago,They got there own bakery inside the supermarket,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/105320576353740242344?hl=en-HU,1
 4 stars ,a year ago,One of the best supermarkets with the best food products,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/113877026383638968578?hl=en-HU,1
 5 stars ,a year ago,Best place for all frexh produce.Staff overly helpful.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/112504351515820070874?hl=en-HU,1
 4 stars ,a year ago,Fresh produce and organize items on display.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/116882266433941189862?hl=en-HU,1
 5 stars ,a year ago,Good quality of products,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/104309638551558269400?hl=en-HU,1
 4 stars ,a year ago,Fresh goods.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/109367803602427161503?hl=en-HU,1
 5 stars ,a year ago,It's closed now.And relocating inside the mall area,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/108311155173984769313?hl=en-HU,1
 4 stars ,2 years ago,"Customer care is nice,fresh foods but its hard to notice where it is ,its behind the Alghurair more that makes it hard for people to locate it.",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/108518342327957348674?hl=en-HU,1
 5 stars ,2 years ago,A great shop... convenient shopping.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/106176626765593435717?hl=en-HU,1
 3 stars ,6 months ago,Good,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/115465733036104576526?hl=en-HU,1
 3 stars ,2 years ago,Grocery store in a good size where you can find most things.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/112062328018452448400?hl=en-HU,1
 1 star ,a year ago,Not open. They need to take this location off the map until their new location opens.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/102735478471002499181?hl=en-HU,1
 3 stars ,a year ago,not all green leafy vegetables are available..  need more varieties,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/105757925677893671042?hl=en-HU,1
 4 stars ,6 months ago,Great,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/113102499780807329030?hl=en-HU,1
 5 stars ,a year ago,Is spinneys Al ghurair branch closed?,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/112688670348900078749?hl=en-HU,1
 3 stars ,2 years ago,"Unfortunately i had a bad experience with the Fresh orange juice available at spinneys. 

The juice was rancid and was off. Called the landline and the staff stated that he would have it replaced. 

Update.
The bottles and the receipt were …",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/117322431864231358312?hl=en-HU,1
 4 stars ,3 years ago,"A very good supermarket, Spinneys is recommended to buy daily meals from there.",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/117926670042773942779?hl=en-HU,1
 3 stars ,2 years ago,"good for shopping vegetable,food,drug",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/109451382760126185631?hl=en-HU,1
 3 stars ,2 years ago,Usual super store. Good. Nothing out of common.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/106810363035088992549?hl=en-HU,1
 4 stars ,2 years ago,Good supermarket.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,,,,https://www.google.com/maps/contrib/110072113458433875786?hl=en-HU,1
