Name,Review Number,Sentiment Score,lat,long
"Nike Atlanta, Georgia",277.0,0.24542000000000003,33.8480743,-84.36296659999996
"Nike Boston, Massachusetts",290.0,0.3790973684210526,42.35011779999997,-71.07997620000002
"Nike Chicago, Chicago, IL 60611",918.0,0.361921875,41.89442120000004,-87.62371170000004
"Nike Clearance Store - Alpine, California ",183.0,0.4526555555555555,32.84024530000003,-116.70472069999983
"Nike Clearance Store - Burlington, Washington",131.0,0.5469428571428572,48.45648810000006,-122.34036000000009
"Nike Clearance Store - Centralia, Washington",854.0,0.47182385620915046,46.72409469999963,-122.97598129999902
"Nike Clearance Store - Florida City, Florida ",253.0,0.4791279999999999,25.45171630000003,-80.47344270000012
"Nike Clearance Store - Flushing Queens, New York ",501.0,0.4480078313253008,40.75746770000003,-73.83468709999988
"Nike Clearance Store - Gurnee, Illinois",125.0,0.605247619047619,42.3888339,-87.95698949999998
"Nike Clearance Store - Johnson Creek, Wisconsin",267.0,0.46127578947368386,43.087725200000015,-88.76526970000012
"Nike Clearance Store - Kissimmee, Florida ",928.0,0.46745620052770476,28.343936100000054,-81.4290107000006
"Nike Clearance Store - Laredo, Texas ",129.0,0.45667500000000005,27.501994899999996,-99.5123134
"Nike Clearance Store - Lebanon, Tennessee",908.0,0.42826504065040594,36.17971249999995,-86.30503189999997
"Nike Clearance Store - Medford, Minnesota",159.0,0.4942347222222223,44.17126300000004,-93.2607129999999
"Nike Clearance Store - Memphis, Tennessee",746.0,0.4293407894736838,35.03654399999982,-90.0277940000001
"Nike Clearance Store - Ocean City, Maryland",128.0,0.4374348837209302,38.33838510000003,-75.10542840000005
"Nike Clearance Store - Orlando Marketplace, Florida ",605.0,0.4482466403162047,28.468464900000058,-81.45103739999973
"Nike Clearance Store - Pasadena, Texas ",395.0,0.4949300699300695,29.647214399999953,-95.15334570000007
"Nike Clearance Store - Pigeon Forge, Tennessee",836.0,0.41385608308605293,35.805925799999876,-83.57347650000055
"Nike Clearance Store - San Leandro, California ",465.0,0.4890348101265819,37.709971799999956,-122.16339560000021
"Nike Clearance Store - Tempe, Arizona",250.0,0.47904835164835136,33.38324950000002,-111.96416740000005
"Nike Clearance Store - Woodbridge, Virginia",158.0,0.5354369565217392,38.64336210000004,-77.29618290000005
"Nike Community Store - Brooklyn, New York ",168.0,0.5721577777777778,40.63019340000004,-73.94761520000007
"Nike Community Store - Detroit, Michigan",674.0,0.5528664429530196,42.33364900000009,-83.04860340000005
"Nike Community Store - East LA, California ",417.0,0.5192135416666664,34.02305699999999,-118.16828379999983
"Nike Community Store - Ivy City, DC",237.0,0.5542451612903225,38.91549379999999,-76.98477980000004
"Nike Community Store - New Orleans, Louisiana",353.0,0.4917904255319143,29.969519299999938,-90.10680729999989
"Nike Community Store - Portland, Oregon",874.0,0.46461719999999973,45.54182229999982,-122.66126430000054
"Nike Community Store - South Chicago, Chicago, IL 60619",768.0,0.4820340782122896,41.73997349999992,-87.60546330000022
"Nike Dallas North Park, Texas ",156.0,0.28796,32.8675723,-96.77306360000003
"Nike Eugene, Oregon",62.0,0.24048000000000003,44.0641939,-123.07807310000001
"Nike Factory Store - Albertville, Minnesota",130.0,0.41724,45.24594260000003,-93.66743959999995
"Nike Factory Store - Allen, Texas ",264.0,0.323251948051948,33.13129260000004,-96.65994940000013
"Nike Factory Store - Altoona, Iowa",63.0,0.5623434782608696,41.655210300000014,-93.51247579999998
"Nike Factory Store - Asheville, North Carolina",119.0,0.43309,35.529795799999995,-82.60399540000002
"Nike Factory Store - Atlanta Woodstock, Georgia",238.0,0.3261298507462687,34.119960299999995,-84.52583899999993
"Nike Factory Store - Atlantic City, New Jersey",323.0,0.48362386363636334,39.3589806,-74.43798919999993
"Nike Factory Store - Auburn Hills, Michigan",166.0,0.40910769230769245,42.70328539999998,-83.30251829999999
"Nike Factory Store - Auburn, Washington",182.0,0.32441320754716974,47.29846839999999,-122.24390060000015
"Nike Factory Store - Aurora Farms, Ohio",156.0,0.5044219512195123,41.301269699999985,-81.33983260000002
"Nike Factory Store - Aurora, Illinois",324.0,0.3689516129032258,41.80026039999994,-88.27221209999989
"Nike Factory Store - Barceloneta, PR",119.0,0.5070621621621623,18.43991019999999,-66.54207029999999
"Nike Factory Store - Barstow, California ",103.0,0.579360606060606,34.845570100000025,-117.08426539999994
"Nike Factory Store - Bellevue, Washington",82.0,0.6027166666666666,47.574182400000005,-122.17115909999997
"Nike Factory Store - Bend, Oregon",128.0,0.4139891891891892,44.0261461,-121.31334209999991
"Nike Factory Store - Birch Run, Michigan",237.0,0.4641338461538462,43.24787130000003,-83.77630380000001
"Nike Factory Store - Bluffton, South Carolina",82.0,0.5799071428571428,32.240217799999996,-80.8176505
"Nike Factory Store - Bossier City, Louisiana",117.0,0.5385933333333333,32.5175891,-93.73999980000005
"Nike Factory Store - Branson, Missouri",242.0,0.3934246753246754,36.64484670000001,-93.26394189999994
"Nike Factory Store - Brentwood, Tennessee",119.0,0.6930499999999999,35.9682718,-86.80855109999995
"Nike Factory Store - Cabazon, California ",218.0,0.4462000000000001,33.92675450000001,-116.81316299999988
"Nike Factory Store - Calexico, California ",121.0,0.32524615384615385,32.66513599999999,-115.50912800000002
"Nike Factory Store - Calhoun, Georgia",122.0,0.4084634146341463,34.462805899999985,-84.91855410000004
"Nike Factory Store - Camarillo, California ",353.0,0.435862105263158,34.21604750000003,-119.05710209999977
